date,item,value,value2
1959-03-31,realgdp,2710.349,-0.6527980013557215
1959-03-31,infl,0.0,-0.8011258748718484
1959-03-31,unemp,5.8,0.0654281171805614
1959-06-30,realgdp,2778.801,-0.0408114783579492
1959-06-30,infl,2.34,0.9158974374265392
1959-06-30,unemp,5.1,-0.2530457843963338
1959-09-30,realgdp,2775.488,1.0087034963683463
1959-09-30,infl,2.74,-1.0181815185363623
1959-09-30,unemp,5.3,1.2167389432729123
1959-12-31,realgdp,2785.204,-0.108661191553973
1959-12-31,infl,0.27,-0.2590094126840914
1959-12-31,unemp,5.6,-2.398005128611882
1960-03-31,realgdp,2847.699,0.3593633995789623
1960-03-31,infl,2.31,-0.4290290391165462
1960-03-31,unemp,5.2,-0.3808024557814625
1960-06-30,realgdp,2834.39,1.4273723464634809
1960-06-30,infl,0.14,-0.3276640507333062
1960-06-30,unemp,5.2,1.1598644167285688
1960-09-30,realgdp,2839.022,-0.0232173285557724
1960-09-30,infl,2.7,-2.0116163772748985
1960-09-30,unemp,5.6,2.313853822192226
1960-12-31,realgdp,2802.616,-1.4068885388214207
1960-12-31,infl,1.21,1.5215059118291945
1960-12-31,unemp,6.3,-0.4769119949033623
1961-03-31,realgdp,2819.264,0.6097291529061134
1961-03-31,infl,-0.4,0.2099027240327942
1961-03-31,unemp,6.8,-0.8314398893349774
1961-06-30,realgdp,2872.005,2.011414850607504
1961-06-30,infl,1.47,-0.7003224277645054
1961-06-30,unemp,7.0,-0.5715346960595883
1961-09-30,realgdp,2918.4190000000003,2.65203067553853
1961-09-30,infl,0.8,-1.2415349654137715
1961-09-30,unemp,6.8,-0.9402409555861058
1961-12-31,realgdp,2977.83,-1.96793817118132
1961-12-31,infl,0.8,0.5462795769734295
1961-12-31,unemp,6.2,-0.2415915531971097
1962-03-31,realgdp,3031.241,-0.5268358251373823
1962-03-31,infl,2.26,-2.399547143536072
1962-03-31,unemp,5.6,0.195596867984471
1962-06-30,realgdp,3064.7090000000003,0.761415201039472
1962-06-30,infl,0.13,-0.7229679930186586
1962-06-30,unemp,5.5,0.965012992196971
1962-09-30,realgdp,3093.047,1.482783988328222
1962-09-30,infl,2.11,-0.4723278856937332
1962-09-30,unemp,5.6,3.0582351768589544
1962-12-31,realgdp,3100.563,-1.1510243526693082
1962-12-31,infl,0.79,0.8612653999082355
1962-12-31,unemp,5.5,-0.0088264440916488
1963-03-31,realgdp,3141.087,0.3887720431776651
1963-03-31,infl,0.53,-0.0365348233881127
1963-03-31,unemp,5.8,0.8343494693071057
1963-06-30,realgdp,3180.447,0.7651789375707988
1963-06-30,infl,2.75,-1.2397912431027884
1963-06-30,unemp,5.7,-1.2164817838818087
1963-09-30,realgdp,3240.3320000000003,-0.0641221076163842
1963-09-30,infl,0.78,0.3457759397523613
1963-09-30,unemp,5.5,0.1942218625913441
1963-12-31,realgdp,3264.967,-1.0828007580506904
1963-12-31,infl,2.46,0.4471190216728107
1963-12-31,unemp,5.6,0.3358773629160957
1964-03-31,realgdp,3338.246,-2.399789530156732
1964-03-31,infl,0.13,0.4115176019458014
1964-03-31,unemp,5.5,0.8576874275253575
